Date,Strategy,Benchmark
2016-05-31,99.79707081945293,99.47499038130978
2016-06-01,98.70953361557238,98.8075734801634
2016-06-02,99.02616972361517,98.60025823043482
2016-06-03,97.78067420435032,97.62396521597019
2016-06-06,97.55743564051672,97.65929213986186
2016-06-07,98.19245182273946,98.81794409376846
2016-06-08,97.35486427349535,98.21897108636274
2016-06-09,95.98703827489351,97.2669660058401
2016-06-10,93.2277445174454,95.08368233538457
2016-06-13,91.32286135810472,93.32406302530202
2016-06-14,89.1911258682432,91.18934444246686
2016-06-15,90.1032655903593,92.10006111331447
2016-06-16,89.80737754906882,91.69006612721508
2016-06-17,91.78818868867667,92.5912961660747
2016-06-20,94.66397728525253,95.83520685331541
2016-06-21,95.57749311533293,96.41984211010292
2016-06-22,95.60766129425272,96.70220955517289
2016-06-23,98.55633088881545,98.59804827639215
2016-06-24,87.48536804416499,90.6683019607898
2016-06-27,83.64342966809487,88.98088346632046
2016-06-28,85.96700426334691,90.27355026745295
2016-06-29,88.57648863354424,92.62418675038762
2016-06-30,88.57648863354424,93.554997832628
2016-07-01,88.57648863354424,94.36040210814524
2016-07-04,88.57648863354424,93.49715093802847
2016-07-05,88.57648863354424,91.91990134765153
2016-07-06,88.57648863354424,90.19517236078394
2016-07-07,88.57648863354424,90.9138116845337
2016-07-08,88.57648863354424,92.52175268544451
2016-07-11,88.57648863354424,94.15220287679958
2016-07-12,88.57648863354424,95.62811798912291
2016-07-13,88.57648863354424,95.71377796386906
2016-07-14,88.57648863354424,96.82342283934678
2016-07-15,88.57648863354424,96.53618271511932
2016-07-18,88.57648863354424,96.21010130105921
2016-07-19,88.57648863354424,95.60052051424873
2016-07-20,88.57648863354424,96.6962480693895
2016-07-21,88.57648863354424,96.61875953446936
2016-07-22,88.57648863354424,96.72583989303386
2016-07-25,88.57648863354424,96.87817579828655
2016-07-26,88.57648863354424,97.02764415341561
2016-07-27,88.57648863354424,98.17989263073032
2016-07-28,88.57648863354424,97.5974781082491
2016-07-29,90.70662388546111,98.02203723050279
2016-08-01,90.71596497321838,97.34556490791331
2016-08-02,88.20166582338166,95.55328139905393
2016-08-03,88.26207859262655,95.40071910826515
2016-08-04,89.94777814026976,95.9427292026884
2016-08-05,91.56124504181395,97.37602993291111
2016-08-08,91.84665873583643,97.48443626390122
2016-08-09,92.39093369915369,98.64595576793147
2016-08-10,91.54243633884857,98.2913821171165
2016-08-11,92.33300369074448,99.43812187972001
2016-08-12,92.0557943304209,99.35510306956142
2016-08-15,92.58079647287373,99.30365965155379
2016-08-16,92.2319899818218,98.47750336856281
2016-08-17,90.95117679437298,97.53345412259374
2016-08-18,92.85701369229993,97.96132278577959
2016-08-19,92.39758499107175,97.15459253783676
2016-08-22,91.76222112039326,96.92100578565962
2016-08-23,93.13433222496231,97.61668853802477
2016-08-24,92.33805663934677,97.92622224742402
2016-08-25,91.69037370666358,97.28904398573937
2016-08-26,92.61439376228198,98.06751916272704
2016-08-29,91.54006449598413,97.67850256963747
2016-08-30,91.74417378511652,98.41237979601794
2016-08-31,91.95708195025315,97.9869366921472
2016-09-01,92.0262077567233,98.01894329484306
2016-09-02,93.37628065629767,100.281936234525
2016-09-05,92.98792046545398,100.2578746861191
2016-09-06,93.01796549577861,100.01236496237522
2016-09-07,93.30803722674221,100.62392931769227
2016-09-08,92.79691013329904,100.28260461086963
2016-09-09,92.25681491761377,99.16103676382518
2016-09-12,91.18484711183461,98.02181084496672
2016-09-13,90.1967546622672,96.86007573566401
2016-09-14,90.49458216542821,96.4865072603458
2016-09-15,90.61121867831615,96.55186799869037
2016-09-16,91.30267574942877,95.65174832698389
2016-09-19,91.59192440505677,97.01483720023181
2016-09-20,92.13611665146323,96.89142474227887
2016-09-21,92.57831606810562,97.35395195301179
2016-09-22,93.99999106690214,99.56771142872874
2016-09-23,93.88613428887011,99.10120630071904
2016-09-26,92.6260187390456,97.31642585534107
2016-09-27,91.90129459514779,97.11397250450634
2016-09-28,92.5277356388724,97.85954631691746
2016-09-29,92.65757134151809,98.11100674618108
2016-09-30,94.3387161083644,98.20858969249396
2016-10-03,94.62999905419892,98.3256094541186
2016-10-04,95.08878566752827,99.41912705521672
2016-10-05,95.03976409620896,99.12903016112925
2016-10-06,95.45759685444314,98.91155990306807
2016-10-07,95.65785577978936,98.24502698353875
