Date,N_Stocks,Allocation
2018-03-30,6,"OrderedDict({'ALO.PA': 0.33333, 'DSY.PA': 0.02, 'HO.PA': 0.33333, 'RMS.PA': 0.19025, 'RNO.PA': 0.02, 'STLAP.PA': 0.10308})"
2018-04-30,16,"OrderedDict({'AI.PA': 0.02, 'ALO.PA': 0.02, 'CAP.PA': 0.02, 'ENGI.PA': 0.25, 'HO.PA': 0.02, 'KER.PA': 0.03006, 'MC.PA': 0.02, 'OR.PA': 0.02, 'ORA.PA': 0.21996, 'PUB.PA': 0.02, 'RMS.PA': 0.02, 'SAF.PA': 0.04997, 'STLAP.PA': 0.02, 'TEP.PA': 0.02, 'TTE.PA': 0.23001, 'VIV.PA': 0.02})"
2018-05-31,10,"OrderedDict({'ALO.PA': 0.25, 'DSY.PA': 0.02, 'HO.PA': 0.13, 'KER.PA': 0.25, 'OR.PA': 0.02, 'RI.PA': 0.02, 'RMS.PA': 0.02, 'SAF.PA': 0.25, 'STLAP.PA': 0.02, 'WLN.PA': 0.02})"
2018-06-29,3,"OrderedDict({'ERF.PA': 0.66667, 'STLAP.PA': 0.31333, 'TEP.PA': 0.02})"
2018-07-31,6,"OrderedDict({'CA.PA': 0.33333, 'EL.PA': 0.07114, 'SAN.PA': 0.22219, 'STLAP.PA': 0.02, 'TEP.PA': 0.02, 'TTE.PA': 0.33333})"
2018-08-31,5,"OrderedDict({'DSY.PA': 0.02, 'HO.PA': 0.4, 'SAF.PA': 0.4, 'STLAP.PA': 0.16, 'TEP.PA': 0.02})"
2018-09-28,8,"OrderedDict({'AI.PA': 0.21127, 'CS.PA': 0.1662, 'EL.PA': 0.02, 'HO.PA': 0.06253, 'RI.PA': 0.02, 'SAF.PA': 0.25, 'STLAP.PA': 0.02, 'TTE.PA': 0.25})"
2018-10-31,0,{}
2018-11-30,0,{}
2018-12-31,0,{}
